Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Status,Source,Company,Lat,Lon,Lat/Lon
,ESTELO,110,1,ES,,,WTON,WIN,1,0,0,1.125,1.125,0,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,TANES B,110,1,ES,,,HPHS,WAT,0.86,0,0,2.777777778,2.777777778,0,,0,0,0.86,0.3,0,,,,,,,,,7700,0,110,0.86,,,,,,,,
,PREAL01,110,1,ES,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,HC XALLAS1,108,1,ES,,,HDAM,WAT,0.85,0,0,0.841121495,0.841121495,0,,0,0,0.85,0.3,0,,,,,,,,,289000,0,0,0,,,,,,,,
,EELRI,107,1,ES,,,WTON,WIN,1,0,0,1.125,1.125,0,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,HFIBGES,107,1,ES,,,HDAM,WAT,0.85,0,0,0.841121495,0.841121495,0,,0,0,0.85,0.3,0,,,,,,,,,7490,0,0,0,,,,,,,,
,FIBGEAR,106,1,ES,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,EIBGEBU,104,1,ES,,,WTON,WIN,1,0,0,1.125,1.125,0,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,EMEDI1,102,1,ES,,,WTON,WIN,1,0,0,1.125,1.125,0,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,ENDPRB,100,1,ES,,,HPHS,WAT,0.86,0,0,2.777777778,2.777777778,0,,0,0,0.86,0.3,0,,,,,,,,,7000,0,100,0.86,,,,,,,,
,EBOREA,100,1,ES,,,WTON,WIN,1,0,0,1.125,1.125,0,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
