 ,WTON,WTOF,PHOT,HROR
2021-10-19 12:00:00+00:00,0.282578561,0,0.612443817,0.149869953
2021-10-19 13:00:00+00:00,0.301226336,0,0.60973624,0.149492439
2021-10-19 14:00:00+00:00,0.307456319,0,0.573044774,0.151028879
2021-10-19 15:00:00+00:00,0.312915086,0,0.479747235,0.175664247
2021-10-19 16:00:00+00:00,0.312469227,0,0.225930861,0.201536264
2021-10-19 17:00:00+00:00,0.311896839,0,0.017978818,0.191872831
2021-10-19 18:00:00+00:00,0.326736733,0,0,0.193523053
2021-10-19 19:00:00+00:00,0.344492788,0,0,0.192121832
2021-10-19 20:00:00+00:00,0.357350414,0,0,0.182132883
2021-10-19 21:00:00+00:00,0.374594334,0,0,0.16532274
2021-10-19 22:00:00+00:00,0.393091481,0,0,0.157950115
2021-10-19 23:00:00+00:00,0.396212498,0,0,0.147989749
2021-10-20 00:00:00+00:00,0.382782485,0,0,0.141665237
2021-10-20 01:00:00+00:00,0.350469717,0,0,0.140118243
2021-10-20 02:00:00+00:00,0.314638273,0,0,0.14077455
2021-10-20 03:00:00+00:00,0.285301919,0,0,0.142674322
2021-10-20 04:00:00+00:00,0.256700631,0,0,0.151910441
2021-10-20 05:00:00+00:00,0.238637293,0,0,0.194300947
2021-10-20 06:00:00+00:00,0.231599942,0,0.005035587,0.178799899
2021-10-20 07:00:00+00:00,0.225610964,0,0.13818765,0.171219609
2021-10-20 08:00:00+00:00,0.213729409,0,0.391953415,0.160409452
2021-10-20 09:00:00+00:00,0.241426928,0,0.541224417,0.153337277
2021-10-20 10:00:00+00:00,0.294363713,0,0.582356815,0.148848335
2021-10-20 11:00:00+00:00,0.348017489,0,0.600968245,0.150147867
2021-10-20 12:00:00+00:00,0.375046219,0,0.602271424,0.147558148
2021-10-20 13:00:00+00:00,0.390301846,0,0.575727047,0.145054287
2021-10-20 14:00:00+00:00,0.406172036,0,0.529015016,0.150638173
2021-10-20 15:00:00+00:00,0.412516497,0,0.399114577,0.183621832
2021-10-20 16:00:00+00:00,0.405798478,0,0.176422687,0.203908863
2021-10-20 17:00:00+00:00,0.386662668,0,0.014942283,0.191494437
2021-10-20 18:00:00+00:00,0.368081169,0,0,0.192586084
2021-10-20 19:00:00+00:00,0.337334935,0,0,0.194476731
2021-10-20 20:00:00+00:00,0.292863456,0,0,0.186060611
2021-10-20 21:00:00+00:00,0.248566706,0,0,0.169534758
2021-10-20 22:00:00+00:00,0.225147029,0,0,0.161786377
2021-10-20 23:00:00+00:00,0.21306062,0,0,0.154545893
2021-10-21 00:00:00+00:00,0.199751109,0,0,0.146119769
2021-10-21 01:00:00+00:00,0.180006761,0,0,0.142086944
2021-10-21 02:00:00+00:00,0.174517868,0,0,0.13990684
2021-10-21 03:00:00+00:00,0.169535086,0,0,0.141106001
2021-10-21 04:00:00+00:00,0.171800535,0,0,0.147828806
2021-10-21 05:00:00+00:00,0.179313871,0,0,0.153885189
2021-10-21 06:00:00+00:00,0.178608931,0,0.003580581,0.160795101
2021-10-21 07:00:00+00:00,0.157243822,0,0.117868169,0.160701107
2021-10-21 08:00:00+00:00,0.136137795,0,0.340205797,0.1596608
2021-10-21 09:00:00+00:00,0.130546475,0,0.479291754,0.155874118
2021-10-21 10:00:00+00:00,0.131173088,0,0.519677671,0.152277402
2021-10-21 11:00:00+00:00,0.124985281,0,0.511150068,0.148482035
2021-10-21 12:00:00+00:00,0.126720518,0,0.519158929,0.147376317
2021-10-21 13:00:00+00:00,0.134860467,0,0.509340799,0.147972819
2021-10-21 14:00:00+00:00,0.146820349,0,0.485402781,0.148951783
2021-10-21 15:00:00+00:00,0.150085969,0,0.400367147,0.152878192
2021-10-21 16:00:00+00:00,0.15550256,0,0.193110977,0.168207522
2021-10-21 17:00:00+00:00,0.159063411,0,0.016574421,0.185816448
2021-10-21 18:00:00+00:00,0.176771266,0,0,0.193826911
2021-10-21 19:00:00+00:00,0.203046855,0,0,0.188258635
2021-10-21 20:00:00+00:00,0.221537976,0,0,0.17430678
2021-10-21 21:00:00+00:00,0.234130496,0,0,0.160308093
2021-10-21 22:00:00+00:00,0.229937007,0,0,0.150683136
2021-10-21 23:00:00+00:00,0.235070417,0,0,0.146359426
2021-10-22 00:00:00+00:00,0.237631097,0,0,0.143266318
2021-10-22 01:00:00+00:00,0.2307745,0,0,0.142801296
2021-10-22 02:00:00+00:00,0.228665704,0,0,0.140868214
2021-10-22 03:00:00+00:00,0.211054252,0,0,0.141009369
2021-10-22 04:00:00+00:00,0.203227609,0,0,0.144426343
2021-10-22 05:00:00+00:00,0.206197997,0,0,0.156201062
